==29485== NVPROF is profiling process 29485, command: ./max_pooling_cuda_float_256 -s 1024 -l 1
==29485== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29485== Profiling application: ./max_pooling_cuda_float_256 -s 1024 -l 1
==29485== Profiling result:
==29485== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"achieved_occupancy","Achieved Occupancy",0.915160,0.915637,0.915403
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"sm_efficiency","Multiprocessor Activity",98.918127%,98.956474%,98.939736%
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"gld_efficiency","Global Memory Load Efficiency",25.000310%,25.000834%,25.000636%
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"inst_fp_16","HP Instructions(Half)",0,0,0
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"inst_fp_32","FP Instructions(Single)",1048576,1048576,1048576
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"inst_fp_64","FP Instructions(Double)",0,0,0
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"inst_integer","Integer Instructions",31457280,31457280,31457280
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Xavier (0)","max_pooling_kernel(float const *, float*, int, unsigned int, unsigned int)",3,"ipc","Executed IPC",0.882179,0.882440,0.882290
